,Model,Seed nodes,Inf_Threshold,Graph_size,FG_infection,SG_infection,Density,40% Diffusion,60% Diffusion,80% Diffusion
0,ICM,0.1,0.1,2622,0.11479786422578185,0.08237986270022883,0.0015325376127976495,50.5,50.5,50.5
1,ICM,0.1,0.2,2622,0.15770404271548435,0.12280701754385964,0.0015325376127976495,50.5,50.5,50.5
2,ICM,0.1,0.30000000000000004,2622,0.2128146453089245,0.17562929061784896,0.0015325376127976495,1.5,50.5,50.5
3,ICM,0.1,0.4,2622,0.2541952707856598,0.2227307398932113,0.0015325376127976495,1.0,50.5,50.5
4,ICM,0.2,0.1,2622,0.15655987795575896,0.13596491228070176,0.0015325376127976495,50.5,50.5,50.5
5,ICM,0.2,0.2,2622,0.19946605644546148,0.17734553775743708,0.0015325376127976495,1.5,50.5,50.5
6,ICM,0.2,0.30000000000000004,2622,0.24561403508771928,0.2246376811594203,0.0015325376127976495,1.0,50.5,50.5
7,ICM,0.2,0.4,2622,0.2889016018306636,0.2555301296720061,0.0015325376127976495,1.0,50.5,50.5
8,ICM,0.30000000000000004,0.1,2622,0.2038520213577422,0.17791762013729978,0.0015325376127976495,50.5,50.5,50.5
9,ICM,0.30000000000000004,0.2,2622,0.2395118230358505,0.21624713958810068,0.0015325376127976495,1.0,50.5,50.5
10,ICM,0.30000000000000004,0.30000000000000004,2622,0.2787948131197559,0.2522883295194508,0.0015325376127976495,0.5,50.5,50.5
11,ICM,0.30000000000000004,0.4,2622,0.31064073226544625,0.28813882532418,0.0015325376127976495,0.5,1.0,50.5
12,ICM,0.4,0.1,2622,0.248093058733791,0.22787948131197558,0.0015325376127976495,0.5,50.5,50.5
13,ICM,0.4,0.2,2622,0.2810831426392067,0.2536231884057971,0.0015325376127976495,0.5,50.5,50.5
14,ICM,0.4,0.30000000000000004,2622,0.3060640732265446,0.2894736842105263,0.0015325376127976495,0.5,1.0,50.5
15,ICM,0.4,0.4,2622,0.34096109839816935,0.31750572082379863,0.0015325376127976495,0.5,1.0,50.5
